model,dataset,k,step_window,evaluation_cohort,validation_rows,mean_steps_used,median_steps_used,p95_steps_used,finished_before_k_share,precision,recall,f1,tp,fp,fn,tn
LLaVA-1.5-7B,LingoQA,32,prefix,fixed_k50_non_all_nan,1621,8.077112893275755,5.0,29.0,0.958667489204195,0.9565217391304348,0.7213114754098361,0.822429906542056,44,2,17,1558
LLaVA-1.5-7B,LingoQA,50,prefix,fixed_k50_non_all_nan,1621,8.68476249228871,5.0,29.0,1.0,0.9574468085106383,0.7377049180327869,0.8333333333333334,45,2,16,1558
LLaVA-1.5-7B,VQAv2,1,prefix,fixed_k50_non_all_nan,1541,1.0,1.0,1.0,0.0,0.8857142857142857,0.7209302325581395,0.7948717948717948,31,4,12,1494
LLaVA-1.5-7B,VQAv2,2,prefix,fixed_k50_non_all_nan,1541,1.419208306294614,1.0,2.0,0.5807916937053861,0.9393939393939394,0.7209302325581395,0.8157894736842105,31,2,12,1496
LLaVA-1.5-7B,VQAv2,4,prefix,fixed_k50_non_all_nan,1541,1.672939649578196,1.0,4.0,0.9130434782608696,0.8378378378378378,0.7209302325581395,0.7749999999999999,31,6,12,1492
LLaVA-1.5-7B,VQAv2,8,prefix,fixed_k50_non_all_nan,1541,1.8150551589876704,1.0,5.0,0.9740428293316028,0.8823529411764706,0.6976744186046512,0.7792207792207793,30,4,13,1494
LLaVA-1.5-7B,VQAv2,12,prefix,fixed_k50_non_all_nan,1541,1.91109669046074,1.0,5.0,0.9766385463984426,0.9393939393939394,0.7209302325581395,0.8157894736842105,31,2,12,1496
LLaVA-1.5-7B,VQAv2,16,prefix,fixed_k50_non_all_nan,1541,2.00194678780013,1.0,5.0,0.9779364049318624,0.9393939393939394,0.7209302325581395,0.8157894736842105,31,2,12,1496
LLaVA-1.5-7B,VQAv2,24,prefix,fixed_k50_non_all_nan,1541,2.1752109020116808,1.0,5.0,0.9785853341985724,0.9393939393939394,0.7209302325581395,0.8157894736842105,31,2,12,1496
LLaVA-1.5-7B,VQAv2,32,prefix,fixed_k50_non_all_nan,1541,2.346528228423102,1.0,5.0,0.9785853341985724,0.9393939393939394,0.7209302325581395,0.8157894736842105,31,2,12,1496
LLaVA-1.5-7B,VQAv2,50,prefix,fixed_k50_non_all_nan,1541,2.710577547047372,1.0,5.0,1.0,0.9393939393939394,0.7209302325581395,0.8157894736842105,31,2,12,1496
