model,dataset,src_layer,tgt_layer,sdc_group,mean_cos_sim,sample_count,finite_step_count
LLaVA-1.5-7B,LingoQA,14,15,significant_sdc,0.53129479068634,339,10512
LLaVA-1.5-7B,LingoQA,15,16,clean,0.9662853732556793,4791,35451
LLaVA-1.5-7B,LingoQA,15,16,sdc,0.7480796985946954,1032,20758
LLaVA-1.5-7B,LingoQA,15,16,significant_sdc,0.4102783096821777,331,10120
LLaVA-1.5-7B,LingoQA,16,17,clean,0.9664322286366779,4791,35451
LLaVA-1.5-7B,LingoQA,16,17,sdc,0.7588151793392958,1024,20366
LLaVA-1.5-7B,LingoQA,16,17,significant_sdc,0.44146342655829607,323,9728
LLaVA-1.5-7B,LingoQA,17,18,clean,0.9658956236923956,4791,35451
LLaVA-1.5-7B,LingoQA,17,18,sdc,0.7932428099546415,1015,19925
LLaVA-1.5-7B,LingoQA,17,18,significant_sdc,0.5641447060698216,314,9287
LLaVA-1.5-7B,LingoQA,18,19,clean,0.9584661758601829,4791,35451
LLaVA-1.5-7B,LingoQA,18,19,sdc,0.7762577722575106,1004,19386
LLaVA-1.5-7B,LingoQA,18,19,significant_sdc,0.5250866532240419,303,8748
LLaVA-1.5-7B,LingoQA,19,20,clean,0.9682001432822439,4791,35451
LLaVA-1.5-7B,LingoQA,19,20,sdc,0.8390959638482909,995,18945
LLaVA-1.5-7B,LingoQA,19,20,significant_sdc,0.6641914615445718,294,8307
LLaVA-1.5-7B,LingoQA,20,21,clean,0.9602179308538588,4791,35451
LLaVA-1.5-7B,LingoQA,20,21,sdc,0.7812151255968417,986,18504
LLaVA-1.5-7B,LingoQA,20,21,significant_sdc,0.5275099999987128,285,7866
LLaVA-1.5-7B,LingoQA,21,22,clean,0.9675937153500866,4791,35451
LLaVA-1.5-7B,LingoQA,21,22,sdc,0.824486756426469,972,17818
LLaVA-1.5-7B,LingoQA,21,22,significant_sdc,0.6530528193550652,272,7229
LLaVA-1.5-7B,LingoQA,22,23,clean,0.9593256917156934,4791,35451
LLaVA-1.5-7B,LingoQA,22,23,sdc,0.8048663753650535,961,17279
LLaVA-1.5-7B,LingoQA,22,23,significant_sdc,0.6457288649810539,261,6690
LLaVA-1.5-7B,LingoQA,23,24,clean,0.9747439438484082,4791,35451
LLaVA-1.5-7B,LingoQA,23,24,sdc,0.881859876383867,954,16936
LLaVA-1.5-7B,LingoQA,23,24,significant_sdc,0.7832897885278945,254,6347
LLaVA-1.5-7B,LingoQA,24,25,clean,0.9612811875048416,4791,35451
LLaVA-1.5-7B,LingoQA,24,25,sdc,0.7749841000645775,945,16495
